codigo_ibge,nome_preferido,uf
4304689,Capela de Santana,RS
4304903,CASCA,RS
4305124,Cerrito,RS
4305132,Cerro Branco,RS
4305173,Cerro Grande do Sul,RS
4305447,Chuvisca,RS
4305587,Colinas,RS
4306205,Cruzeiro do Sul,RS
4306502,Dom Feliciano,RS
4306700,Dona Francisca,RS
4306759,DOUTOR RICARDO,RS
4306809,Encantado,RS
4306908,Encruzilhada do Sul,RS
4307500,ESPUMOSO,RS
4307807,Estrela,RS
4307815,Estrela Velha,RS
4308003,Faxinal do Soturno,RS
4308078,Fazenda Vila Nova,RS
4308300,FONTOURA XAVIER,RS
4308409,Formigueiro,RS
4308433,Forquetinha,RS
4309159,Gramado Xavier,RS
4309308,Guaíba,RS
4309571,Herveiras,RS
4309753,Ibarama,RS
4310306,ILÓPOLIS,RS
4310363,Imigrante,RS
4310538,Itaara,RS
4310579,ITAPUCA,RS
4310751,Ivorá,RS
4310876,Jacuizinho,RS
4311106,Jaguari,RS
4311130,Jari,RS
4311239,Lagoa Bonita do Sul,RS
4311254,Lagoão,RS
4311403,Lajeado,RS
4311791,Maratá,RS
4311981,Mariana Pimentel,RS
4312054,Marques de Souza,RS
4312104,Mata,RS
4312153,Mato Leitão,RS
4312252,Minas do Leão,RS
4312351,MONTAURI,RS
4312401,Montenegro,RS
4312450,Morro Redondo,RS
4312757,NOVA ALVORADA,RS
4313037,Nova Esperança do Sul,RS
4313102,Nova Palma,RS
4313391,Novo Cabrais,RS
4313953,Pantano Grande,RS
4314027,Paraiso do Sul,RS
4314068,Passa Sete,RS
4314159,Paverama,RS
4314407,Pelotas,RS
4314472,Pinhal Grande,RS
4314605,Piratini,RS
4314803,Portão,RS
4315156,Progresso,RS
4315503,Restinga Seca,RS
4315602,Rio Grande,RS
4315701,Rio Pardo,RS
4315800,Roca sales,RS
4316451,Salto do Jacui,RS
4316758,Santa Clara do Sul,RS
4316808,Santa Cruz do Sul,RS
4316907,Santa Maria,RS
4316972,Santa Margarida do Sul,RS
4317004,Santana da Boa Vista,RS
4317301,Santa Vitória do Palmar,RS
4317400,Santiago,RS
4318101,São Francisco de Assis,RS
4318309,São Gabriel,RS
4318432,São João do Polesini,RS
4318804,São Lourenço do Sul,RS
4319109,São Martinho,RS
4319604,São Sepe,RS
4319802,São vicente do Sul,RS
4320263,Segredo,RS
4320354,Sentinela do Sul,RS
4320453,Sério,RS
4320552,Sertão Santana,RS
4320651,Silveira Martins,RS
4320677,Sinimbu,RS
4320701,Sobradinho,RS
4320800,SOLEDADE,RS
4321105,Tapes,RS
4321303,Taquari,RS
4321451,Teutonia,RS
4322004,Triunfo,RS
4322152,Tunas,RS
4322327,Turuçu,RS
4322350,UNIÃO DA SERRA,RS
4322376,Unistalda,RS
4322608,Venâncio Aires,RS
4322707,Vera Cruz,RS
4323408,VILA MARIA,RS
4323457,Vila Nova do Sul,RS
